Season,Episode,Challenge Winner,Service Loser,Black Jackets,Comments
1,1,NA,Red,FALSE,"Signature dishes not scored, just a way for Gordon to critique"
1,2,Red,Red,FALSE,
1,3,Red,Blue,FALSE,
1,4,Blue,Blue,FALSE,
1,5,Red,Red,FALSE,
1,6,Red,Blue,FALSE,
1,7,Jimmy,Jimmy,TRUE,
1,8,Elsie,Elsie,TRUE,
1,9,Ralph,Jessica,TRUE,
1,10,Michael,Ralph,TRUE,
1,11,NA,NA,TRUE,Was a double episode with Episode 10. Results have been folded into that row
2,1,NA,Red,FALSE,"Signature dishes not scored, just a way for Gordon to critique"
2,2,Red,Blue,FALSE,
2,3,Red,Blue,FALSE,
2,4,Blue,Both,FALSE,
2,5,Red,Red,FALSE,
2,6,Red,Red,FALSE,
2,7,Keith,Garret,TRUE,
2,8,Virginia,Sara,TRUE,
2,9,Virginia,Keith,TRUE,
2,10,Virginia,Heather,TRUE,
2,11,NA,NA,TRUE,Was a double episode with Episode 10. Results have been folded into that row
3,1,NA,Red,FALSE,"Signature dishes not scored, just a way for Gordon to critique"
3,2,Red,Blue,FALSE,
3,3,Red,Red,FALSE,
3,4,Red,Both,FALSE,
3,5,Blue,Red,FALSE,
3,6,Red,Blue,FALSE,
3,7,Blue,Both,FALSE,
3,8,Julia,Julia,TRUE,
3,9,Jen,Jen,TRUE,
3,10,Bonnie,Bonnie,TRUE,
3,11,NA,NA,TRUE,Was a double episode with Episode 10. Results have been folded into that row
4,1,Blue,Blue,FALSE,"Signature dishes not scored, just a way for Gordon to critique"
4,2,Red,Red,FALSE,
4,3,Red,Both,FALSE,
4,4,Red,Blue,FALSE,
4,5,Blue,None,FALSE,No losers during dinner service
4,6,Red,None,FALSE,No losers during dinner service
4,7,Red,Blue,FALSE,
4,8,Red,Red,FALSE,
4,9,Red,Blue,FALSE,
4,10,Jen,Matt,FALSE,
4,11,Christina,Bobby,TRUE,
4,12,Christina,Jen,TRUE,
4,13,Christina,Corey,TRUE,
4,14,Petrozza,Petrozza,TRUE,
5,1,NA,Blue,FALSE,"Signature dishes not scored, just a way for Gordon to critique"
5,2,Blue,Red,FALSE,
5,3,Blue,Blue,FALSE,
5,4,Red,Both,FALSE,
5,5,Red,Both,FALSE,
5,6,Blue,Red,FALSE,
5,7,Red,Blue,FALSE,
5,8,Red,Red,FALSE,
5,9,Blue,Blue,FALSE,
5,10,Ben,Giovanni,TRUE,
5,11,Andrea,None,TRUE,Robert was hospitalized and hence Gordon showed mercy and eliminated no one
5,12,Danny,Ben,TRUE,
5,13,Paula,Adrea,TRUE,
5,14,Danny,Paula,TRUE,
5,15,NA,NA,TRUE,Was a double episode with Episode 10. Results have been folded into that row
6,1,Blue,Red,,
6,2,Blue,Both,,
6,3,Red,Red,,
6,4,Red,Red,,
6,5,Blue,Red,,
6,6,Red,Both,,
6,7,Blue,Blue,,
6,8,Red,Red,,
6,9,Red,Both,,
6,10,Blue,Both,,
6,11,Dave & Suzanne,Van,,
6,12,Kevin & Ariel,Suzanne,,
6,13,Tenille,Tenille,,
6,14,Dave,Ariel,,
6,15,Dave,Kevin,,